Algorithm,Difficulty,Solved,Steps,Time (s),Memory (KB),Backtracks
DFS,Easy,True,25,0.0183,17.53,0
DFS,Medium,True,44,0.0283,20.07,4
DFS,Hard,True,6320,4.2489,16.8,6265
DFS,Expert,True,426,0.2806,16.1,362
DFS,Easy,True,27,0.0207,17.76,2
DFS,Medium,True,79,0.0631,21.57,39
DFS,Hard,True,13188,12.982,15.76,13133
DFS,Expert,True,4856,4.8702,15.99,4792
DFS,Easy,True,25,0.0156,17.53,0
DFS,Medium,True,44,0.0368,20.07,4
DFS,Hard,True,6320,5.9642,16.91,6265
DFS,Expert,True,426,0.404,16.1,362
DFS,Easy,True,28,0.0278,17.41,3
DFS,Medium,True,150,0.1627,20.59,110
DFS,Hard,True,176,0.1876,15.93,121
DFS,Expert,True,580,0.8714,16.04,516
DFS,Easy,True,29,0.0251,17.99,4
DFS,Medium,True,228,0.2092,17.02,188
DFS,Hard,True,2579,2.5862,15.76,2524
DFS,Expert,True,164,0.1592,17.82,100
A*,Easy,True,25,0.0392,30.85,0
DFS,Easy,True,25,0.0249,17.41,0
DFS,Easy,True,25,0.0312,17.41,0
A*,Easy,True,25,0.0572,30.42,0
A*,Easy,True,25,0.0409,30.36,0
DFS,Easy,True,25,0.0285,15.17,0
A*,Medium,True,40,0.1452,36.4,0
DFS,Hard,True,4208,4.3076,16.04,4157
A*,Hard,True,51,0.1464,41.01,0
A*,Hard,True,57,4.7282,626.1,129
DFS,Hard,True,16421,17.6649,20.84,16364
DFS,Easy,True,25,0.0251,17.41,0
A*,Easy,True,25,0.0535,30.42,0
A*,Easy,True,40,0.0902,36.4,0
DFS,Medium,True,44,0.0504,19.72,4
A*,Easy,True,25,0.038,30.73,0
A*,Medium,True,40,0.1033,34.06,0
A*,Hard,True,55,2.9792,436.14,39
DFS,Easy,True,26,0.0297,17.58,1
DFS,Medium,True,71,0.0651,15.92,31
DFS,Hard,True,8342,9.6315,18.87,8287
DFS,Expert,True,677,0.8668,16.04,613
A*,Easy,True,25,0.0361,30.73,0
A*,Medium,True,40,0.4016,113.87,0
A*,Hard,True,55,97.3826,18360.47,1112
DFS,Easy,True,27,0.0282,17.76,2
DFS,Medium,True,88,0.1114,19.44,48
DFS,Hard,True,141,0.1698,15.7,86
DFS,Expert,True,707,0.8337,15.99,643
A*,Easy,True,25,0.0307,50.71,0
A*,Medium,True,40,0.3296,247.34,0
A*,Hard,True,55,90.6629,52833.65,1112
