Date,Time,Agent_X_Type,Agent_O_Type,Winner,Num_Moves,Game_Duration_Seconds,Final_Board_State
2025-04-19,16:51:22,Medium,Random,X,41,1.65,XO OOXXOOXXX    OOOO   X O X  X OO OOX    O O   OX OO X  X  X O  XXXX   XXX      
2025-04-19,16:51:23,Learning,Medium,O,54,0.99,XOOXOXO XX  X O  XX XOXOOOO O XO  O OXO XOXXXOOXXOOXOXO XX XO  O  XXX X OOO      
2025-04-19,16:51:23,Easy,Easy,X,35,0.08,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,16:51:24,Easy,Easy,X,35,0.08,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,16:51:48,MCTS,Medium,X,45,24.37, XOOX  X OXO XO  OO X OOXXXXOOXO XXOXXXO      X  X OX  O  XX   OO OO O      XO X 
2025-04-19,16:54:50,Random,Random,X,59,0.0,XXO OO XO OX X OOOOX OO X XOOXOXX XXXOOXOOX XX  XXOXO XX OOOX  OXO XXO  OXX   OXO
2025-04-19,16:54:52,Medium,Easy,X,37,1.85,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,16:54:53,Easy,Medium,O,26,1.2,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,16:55:44,Hard,Hard,X,53,51.19,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,16:55:45,Medium,Random,X,47,0.92,X OOXO  XOX OOOX  X X O O OXXOOXO X OOXX OOO  X  X  X   X X XO  X  X OXOXO X   O 
2025-04-19,16:56:21,Hard,Easy,X,37,35.25,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,16:56:22,Medium,Random,X,51,1.42,XO OO  O XXOO OXOOXOX XOOOXXXX O O    OXXOO OXXX     OOXOOXX   XXX      X OXX XO 
2025-04-19,16:57:03,MCTS,MCTS,X,41,41.09,OO   X OOXXX    OO   OOO X   X OX  XX OXX X   OOO XOO      X OOXX X  X O  XO X  X
2025-04-19,16:57:30,MCTS,Medium,O,52,26.98,XOXX  XX   OXXOXOOO X  X  XO OXO X O O XXX   O  OOX  OOOO      OXXXOXXOOXOO OXXOX
2025-04-19,16:57:30,Easy,Random,O,34,0.02,XOO OOO  X O O O OXXOX O OO     O   XX       XXX      XXX   O  XXX    O X      O 
2025-04-19,16:57:56,MCTS,Medium,X,47,25.73, X OX  X  O XXX X O O XOXXXOX XXO XXOOO       XOOXX XX   OXO  XOO O OO     OXOO O
2025-04-19,16:58:21,Random,MCTS,O,50,25.05, X    OOOXXO O O  O XXXXXO  XO XO   OOO  XOOXXX OXXOOXOOO X X XX X XOXX   O  O  O
2025-04-19,16:58:54,MCTS,Hard,X,39,32.61,X O X  XXXXO X   X OX  X  XO  XX X   O OOXXOXO  OOX O    OOO    O  XX   OOO      
2025-04-19,16:59:37,MCTS,MCTS,X,43,43.15,O XOX X  OO  X  XOXXX O O     OXX  XO  OO XXXX  X O   OXO X  X XXO  O OO O  O  OX
2025-04-19,16:59:39,Medium,Medium,X,51,2.14,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,16:59:39,Random,Medium,O,44,0.61,XXOXOXXX OOO X X  X   X X XOXOXX  X OXO O XXXO  O     OOOO     OOO  X    X OOO   
2025-04-19,16:59:42,Medium,Medium,X,51,2.26,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:00:01,Random,MCTS,O,38,19.06, X  X  X OX XX  X OOO     X O  X   O OX O  OO    X     OX O  O OOXXXO XX O  O XOX
2025-04-19,17:00:02,Easy,Medium,O,26,1.1,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:00:02,Random,Random,Draw,73,0.0,OXXXXOOOXOXOOXXXOO OXOXOXOOOXXOOOXOXXXXXOOOXO  XOXOX XOO XOXOOXXXX O XX XOOXOXOOX
2025-04-19,17:00:13,Easy,MCTS,O,22,11.09,X  OOO   X O  O  OOXO  O  OX        XX  O    XXX                        XX       
2025-04-19,17:00:43,Easy,Hard,O,26,30.12,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:00:55,Easy,MCTS,O,24,12.13,X O O O  XXOOOO   XXO O O  XO       XXX      X        XX  O                      
2025-04-19,17:01:12,MCTS,Random,X,33,17.06,  O X  X   OX   X   X  XO XOO  O   O  OX  X  X  XOOX   X   O XO O   OO     XXX  O
2025-04-19,17:01:14,Medium,Medium,X,51,2.09,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:01:15,Medium,Random,X,35,1.01,XXXOO O  OOX O O    OX O  OX   OO  OOXOXXXO  OX  X    XXX                  XXX   
2025-04-19,17:01:50,Hard,Easy,X,37,34.24,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:01:58,Hard,Random,X,31,8.71,XX   OOOO OX  OOOOO OXX   O  O    O       O   X X     XXX      XXX      XXX      
2025-04-19,17:02:22,Medium,Hard,Draw,50,23.37,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:03:21,Hard,MCTS,O,42,58.94,X O  O OOOX OXOOO XXO  O  OO XXO   OOXX XX O XXX  O      OO  X XX XO    X  X  X  
2025-04-19,17:03:22,Easy,Medium,O,26,1.02,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:03:41,MCTS,Random,X,37,19.12,OOX  X      O  XXXOOXX OO   X   X  OX   X   XXOXO  O   O  O  O   X  X OX XO  OX O
2025-04-19,17:04:02,Medium,MCTS,O,40,21.17,XX OOO   O   O XOO   OOO      XOXXOXXXX       XXOOOXO X  O XO O   XXX     X  XO  
2025-04-19,17:04:02,Easy,Random,X,39,0.03,X  OOOO OXOXX  X OXOO O O  XXX O O  XXX      XXX  O   XXXO              XOX OOO  
2025-04-19,17:04:02,Easy,Random,X,37,0.04,XOO  O  OXOXX OOOOXOOOXO  XOX    O  X   O O  XXX      XXX      X        XXX     O
2025-04-19,17:04:25,Medium,Hard,Draw,50,23.38,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:04:25,Random,Random,X,55,0.0,OX  X  XOO  O  OX XO  O O XO XXOXXOXO XOXOXOXXXXXOO  X X XXOO  O OOXX XX  OO OXOO
2025-04-19,17:04:48,Medium,Hard,Draw,50,22.87,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:04:48,Random,Easy,Draw,57,0.03,OXX   XXXOOXXXX XXOOOX    XXOOOOOX XOOXOX XXXOOXOX XX OOO      OOO      XOOOOXXXO
2025-04-19,17:05:34,MCTS,Hard,O,36,45.84,OOO X X  X  O X XXXXXX     X OXO O  XO OX   X O  O    OOO  X  X O       X O O O  
2025-04-19,17:05:34,Random,Random,Draw,72,0.0,XOXOOXXXOOXOXXOXOXXOOOXO OXOOXXXOOXXXOOXOXOXXX  XOOXXX OXOXXOXXOXXOOO   OXOOO OO 
2025-04-19,17:06:29,Hard,MCTS,O,46,55.29,XOX O  O X  OOO   OXXXOOOOX  XOXOOO  O XX OOOXXX      O  XX X XXXX         XX OOO
2025-04-19,17:06:51,MCTS,Medium,X,39,21.48,O  XXX   O XO XO  OX XX  X OOOX     XO XO X    O O O  X OX  XXOX O   OOO X     X 
2025-04-19,17:07:11,Medium,MCTS,X,37,20.15,XO  O  O   XXOXOOX  O O O    OO X OOXXX         XOO O XXX      X  XXXOX   OX     
2025-04-19,17:07:23,MCTS,Easy,X,23,12.13,X  X XX  OX  X  X X   X   XO    X   OO       OOO      OO    X  O        O        
2025-04-19,17:07:23,Easy,Easy,X,35,0.07,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,17:08:35,MCTS,Hard,X,45,71.91,XO X  X  X  XOXX  XOX O XO OOO        XXOX  XOOO      OOO      XOOXX XOOXOXXOXOX 
2025-04-19,17:08:51,Random,MCTS,O,32,16.03,  X   OOO  O  O  OX  OOO    X       XX  X  OOX X  O  XO X O    O    XXX  X  X XO 
2025-04-19,17:08:51,Easy,Random,X,43,0.04,X O  OO OOX  OO OOXXX O    XX OO  OOXXXO     XXOX  O  XXX   O OXX   O   XXOX  X  
2025-04-19,17:08:53,Medium,Random,X,43,1.2,XXXO O   O O X OO  X O OOOOX X O  OOO OX O  O X  XXO O  XXXX   XXX      O XXXX   
2025-04-19,17:09:25,Random,Hard,O,34,32.04,OX    XXXOOO X X XXX  XOX  X  XO   XXO O    X       X OOO      O  O  O  OOO      
2025-04-19,17:09:26,Medium,Easy,X,37,1.76,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:09:57,MCTS,Hard,X,41,30.32,OX  X  X  OX  X  X  OXXX     XOOXO X XO XXOX  O OO  O    XO XO OX XO  OXOOO      
2025-04-19,17:10:10,MCTS,Easy,X,25,13.09,X XX XXX X   X   XO X X X  O        OO   X   OOO      OOO      O        O        
2025-04-19,17:10:33,Medium,Hard,Draw,50,23.33,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:10:48,Random,Hard,O,42,14.94,XO XO  OX  X  XX XXOOO XXXXO XXO   OOOX X X XOOO      OOO        O XX   OOO     X
2025-04-19,17:11:10,MCTS,Random,X,43,22.08,XXX O  X   OOOO X  X  O X O   O  XXXOX  X  XO  X O O XX   OXXOO O   OOOO X XX OX 
2025-04-19,17:11:43,Hard,Easy,X,37,33.0,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:12:09,Medium,MCTS,O,48,25.91,X  X  OOOX OOXO OX XO O O  XXOOXOXOX OXXOO O   XXX X  OXXOOOX  XXX       OOX     
2025-04-19,17:12:56,Hard,Hard,X,53,47.15,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:12:58,Medium,Medium,X,51,2.23,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:12:59,Random,Medium,O,44,0.7,XOX OXX  OXX  XXX O XOOXXXO     X XX  X X XOXOOO      OOO       OOOO   X  OOOO X 
2025-04-19,17:13:46,Hard,Hard,X,53,46.86,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
